address,city,state,zipcode,size,price
113 Evans St, Dorchester Center, MA,2124," 2 beds / 1 bath / 1,636 sqft ","$279,000 "
16 Elwyn Rd, Dorchester Center, MA,2124," 12 beds / 3 baths / 3,816 sqft ","$519,000 "
22 Branchfield St APT D4, Dorchester Center, MA,2124," 3 beds / 1 bath / 2,047 sqft ","$299,900 "
60 Senator Bolling Cir, Boston, MA,2124," 2 beds / 1 bath / 1,131 sqft ","$449,900 "
8 Silloway St, Dorchester Center, MA,2124," 9 beds / 3 baths / 4,293 sqft ","$559,000 "
174-176 Wilmington Ave, BOSTON, MA,2124," 5 beds / 2 baths / 3,078 sqft ","$412,000 "
9 Standish St, Dorchester Center, MA,2124," 2 beds / 2 baths / 1,010 sqft ","$327,000 "
22-24 Hannon St, BOSTON, MA,2124," 2 beds / 2 baths / 1,055 sqft ","$539,900 "
41 Burt St, Dorchester Center, MA,2124," 4 beds / 1 bath / 1,250 sqft ","$300,000 "
36 Msgr Patrick J Lydon Way UNIT 3, Dorchester Center, MA,2124," 2 beds / 1 bath / 1,063 sqft ",
11 Gaylord St UNIT 3, Dorchester Center, MA,2124," 4 beds / 2 baths / 3,888 sqft ","300,000"
14 Snowden Way, Boston, MA,2124," 2 beds / 1 bath / 1,000 sqft ","$489,000 "
13 Torrey St, Boston, MA,2124," 2 beds / 1 bath / 99,999 sqft ","$287,000 "
Bernard St, Boston, MA,2124," 4 beds / 1.5 baths / 1,890 sqft ",
113 Lonsdale St # 1, Dorchester Center, MA,2124," 2 beds / 2 baths / 1,140 sqft ","$269,900 "
52 Mascot St APT 5, Dorchester, MA,2124," 2 beds / 2 baths / 1,000 sqft ",
27 Floyd St, Dorchester Center, MA,2124," 5 beds / 3 baths / 2,040 sqft ","$437,000 "
Argyle St, Boston, MA,2124," 3 beds / 3 baths / 1,964 sqft ","480,000"
Angell St, Dorchester, MA,2124," 3 beds / 2.5 baths / 2,000 sqft ",
15 Wainwright St # 2, Boston, MA,2124," 3 beds / 3 baths / 3,295 sqft ","1,800/mo"
9 Bailey St # 1, Dorchester Center, MA,2124," 2 beds / 2 baths / 1,000 sqft ","2,400/mo"
102 Msgr Patrick J Lydon Way, Dorchester Center, MA,2124," 2 beds / 2 baths / 1,026 sqft ","1,350/mo"
49 Lenoxdale Ave UNIT 1, Dorchester Center, MA,2124," 3 beds / 1.5 baths / 1,710 sqft ","187,000"
36 Sudan St # 1F, Dorchester, MA,2125," 2 beds / 2 baths / 1,060 sqft ","529,000"
29 Glendale St, Dorchester, MA,2125," 2 beds / 2 baths / 1,152 sqft ","$599,000 "
13 Hamilton St, Dorchester, MA,2125," 2 beds / 2 baths / 1,152 sqft ","$329,000 "
Mount Vernon St, Dorchester, MA,2125," 2 beds / 1 bath / 1,050 sqft ","329,000"
26 Elder St UNIT 3, Dorchester, MA,2125," 5 beds / 3 baths / 2,819 sqft ","1,600/mo"
40 Wayland St, Dorchester, MA,2125," 5 beds / 3 baths / 2,600 sqft ","$509,000 "
Howard Ave, Boston, MA,2125," 1 bed / 1 bath / 1,212 sqft ","399,000"
Thornley St, Boston, MA,2125," 3 beds / 2 baths / 2,434 sqft ","3,200/mo"
Mount Vernon St, Boston, MA,2125," 2 beds / 2 baths / 1,400 sqft ","2,900/mo"
Mount Vernon St, Boston, MA,2125," 2 beds / 2 baths / 1,256 sqft ","549,000"
Mount Vernon St, Boston, MA,2125," 2 beds / 2.5 baths / 1,700 sqft ","2,850/mo"
E Cottage St, Dorchester, MA,2125," 3 beds / 3 baths / 1,928 sqft ","184,000"
19 Dewolf St # 2, Boston, MA,2125," 3 beds / 2.5 baths / 2,420 sqft ","499,000"
400 Savin Hill Ave APT 9, Dorchester, MA,2125," 1 bed / 1 bath / 1,107 sqft ","749,000"
253 E Cottage St UNIT 1, Dorchester, MA,2125," 2 beds / 2.5 baths / 1,483 sqft ","2,100/mo"
157 E Cottage St, Dorchester, MA,2125," 1 bed / 1 bath / 1,025 sqft ","2,300/mo"
Bayside St, Boston, MA,2125," 2 beds / 2 baths / 1,580 sqft ","1,650/mo"
Mount Vernon St, Dorchester, MA,2125," 2 beds / 2 baths / 1,690 sqft ","349,000"
57 Bakersfield St # 3, Dorchester, MA,2125," 1 bed / 1 bath / 1,605 sqft ","1,400/mo"
